Date,Download,Upload
2017-01-21 21:53:01,1936060,7540748
2017-01-21 21:54:02,3496297,10373096
2017-01-21 21:55:02,4904896,7335289
2017-01-21 21:56:02,8931423,10537320
2017-01-21 21:57:02,8136871,9766702
2017-01-21 21:58:02,9488112,11200557
2017-01-21 21:59:01,7633263,7854200
2017-01-21 22:00:02,6998678,9986931
2017-01-21 22:01:01,9902243,12098654
2017-01-21 22:02:01,6379077,6234540
2017-01-21 22:03:02,5377988,6749324
2017-01-21 22:04:02,3982120,5862336
2017-01-21 22:05:02,4577979,8532817
2017-01-21 22:06:01,7858594,11402898
2017-01-21 22:07:02,6774104,7265930
2017-01-21 22:08:02,6443532,8284023
2017-01-21 22:09:02,4910364,7917989
2017-01-21 22:10:02,5707109,9716087
2017-01-21 22:11:02,7032741,6219296
2017-01-21 22:12:01,10352951,14218150
2017-01-21 22:13:01,8905367,12345630
2017-01-21 22:14:02,9549012,9588966
2017-01-21 22:15:02,8375554,11787175
2017-01-21 22:16:02,6171322,6951913
2017-01-21 22:17:01,7009123,6005234
2017-01-21 22:18:01,8537761,7727346
2017-01-21 22:19:02,5257912,7035077
2017-01-21 22:20:01,7897555,7945084
2017-01-21 22:21:14,0,0
2017-01-21 22:22:01,980069,10504527
2017-01-21 22:23:02,7247629,13220160
2017-01-21 22:24:02,283570,0
2017-01-21 22:25:02,4673971,9103221
2017-01-21 22:26:02,4868648,8691076
2017-01-21 22:27:02,5351979,8549520
2017-01-21 22:28:02,5321051,7628753
2017-01-21 22:29:02,6674397,6659872
2017-01-21 22:30:03,6658188,8134099
2017-01-21 22:31:01,6541699,10290901
2017-01-21 22:32:02,8228410,12210807
2017-01-21 22:33:02,6683280,6974978
2017-01-21 22:34:01,3462976,7538894
2017-01-21 22:35:02,2317828,4098050
2017-01-21 22:36:02,5991328,7144686
2017-01-21 22:37:01,1985931,5387234
2017-01-21 22:38:02,5859922,8031092
2017-01-21 22:39:02,6239553,7379753
2017-01-21 22:40:01,5591679,4701523
2017-01-21 22:41:02,9052412,13196983
2017-01-21 22:42:02,9788681,8700641
2017-01-21 22:43:01,5255627,6448498
2017-01-21 22:44:01,10085565,4657291
2017-01-21 22:45:01,7383487,8309706
2017-01-21 22:46:02,5528661,5719247
2017-01-21 22:47:02,7189791,7786057
