Date,Download,Upload
2017-01-21 21:53:01,1891,7364
2017-01-21 21:54:02,3414,10130
2017-01-21 21:55:02,4790,7163
2017-01-21 21:56:02,8722,10290
2017-01-21 21:57:02,7946,9538
2017-01-21 21:58:02,9266,10938
2017-01-21 21:59:01,7454,7670
2017-01-21 22:00:02,6835,9753
2017-01-21 22:01:01,9670,11815
2017-01-21 22:02:01,6230,6088
2017-01-21 22:03:02,5252,6591
2017-01-21 22:04:02,3889,5725
2017-01-21 22:05:02,4471,8333
2017-01-21 22:06:01,7674,11136
2017-01-21 22:07:02,6615,7096
2017-01-21 22:08:02,6293,8090
2017-01-21 22:09:02,4795,7732
2017-01-21 22:10:02,5573,9488
2017-01-21 22:11:02,6868,6074
2017-01-21 22:12:01,10110,13885
2017-01-21 22:13:01,8697,12056
2017-01-21 22:14:02,9325,9364
2017-01-21 22:15:02,8179,11511
2017-01-21 22:16:02,6027,6789
2017-01-21 22:17:01,6845,5864
2017-01-21 22:18:01,8338,7546
2017-01-21 22:19:02,5135,6870
2017-01-21 22:20:01,7712,7759
2017-01-21 22:21:14,0,0
2017-01-21 22:22:01,957,10258
2017-01-21 22:23:02,7078,12910
2017-01-21 22:24:02,277,0
2017-01-21 22:25:02,4564,8890
2017-01-21 22:26:02,4755,8487
2017-01-21 22:27:02,5227,8349
2017-01-21 22:28:02,5196,7450
2017-01-21 22:29:02,6518,6504
2017-01-21 22:30:03,6502,7943
2017-01-21 22:31:01,6388,10050
2017-01-21 22:32:02,8036,11925
2017-01-21 22:33:02,6527,6812
2017-01-21 22:34:01,3382,7362
2017-01-21 22:35:02,2264,4002
2017-01-21 22:36:02,5851,6977
2017-01-21 22:37:01,1939,5261
2017-01-21 22:38:02,5723,7843
2017-01-21 22:39:02,6093,7207
2017-01-21 22:40:01,5461,4591
2017-01-21 22:41:02,8840,12888
2017-01-21 22:42:02,9559,8497
2017-01-21 22:43:01,5132,6297
2017-01-21 22:44:01,9849,4548
2017-01-21 22:45:01,7210,8115
2017-01-21 22:46:02,5399,5585
2017-01-21 22:47:02,7021,7604
2017-01-21 22:48:02,9165,8825
2017-01-21 22:49:02,8977,10027
2017-01-21 22:50:01,0,0
2017-01-21 22:51:03,1156,2503
2017-01-21 22:52:02,1945,1964
2017-01-21 22:53:02,1518,2176
2017-01-21 22:54:01,4490,7235
2017-01-21 22:55:02,3683,4397
2017-01-21 22:56:02,7034,6243
2017-01-21 22:57:02,6560,6295
2017-01-21 22:58:02,4213,3495
2017-01-21 22:59:02,5263,4371
2017-01-21 23:00:02,5250,1602
2017-01-21 23:01:02,6924,7439
2017-01-21 23:02:02,5503,6786
2017-01-21 23:03:01,3679,4207
2017-01-21 23:04:02,5940,4824
2017-01-21 23:05:02,3420,3355
2017-01-21 23:06:01,99,3274
2017-01-21 23:07:01,2453,5638
2017-01-21 23:08:02,7411,7345
2017-01-21 23:09:02,6858,4148
2017-01-21 23:10:01,5706,3032
2017-01-21 23:11:02,2118,4078
2017-01-21 23:12:02,5270,7579
2017-01-21 23:13:01,4516,4181
2017-01-21 23:14:02,5037,3435
2017-01-21 23:15:01,1220,2341
