Date,Download,Upload
2017-01-21 21:53:01,1.85,7.19
2017-01-21 21:54:02,3.33,9.89
2017-01-21 21:55:02,4.68,7
2017-01-21 21:56:02,8.52,10.05
2017-01-21 21:57:02,7.76,9.31
2017-01-21 21:58:02,9.05,10.68
2017-01-21 21:59:01,7.28,7.49
2017-01-21 22:00:02,6.67,9.52
2017-01-21 22:01:01,9.44,11.54
2017-01-21 22:02:01,6.08,5.95
2017-01-21 22:03:02,5.13,6.44
2017-01-21 22:04:02,3.8,5.59
2017-01-21 22:05:02,4.37,8.14
2017-01-21 22:06:01,7.49,10.87
2017-01-21 22:07:02,6.46,6.93
2017-01-21 22:08:02,6.15,7.9
2017-01-21 22:09:02,4.68,7.55
2017-01-21 22:10:02,5.44,9.27
2017-01-21 22:11:02,6.71,5.93
2017-01-21 22:12:01,9.87,13.56
2017-01-21 22:13:01,8.49,11.77
2017-01-21 22:14:02,9.11,9.14
2017-01-21 22:15:02,7.99,11.24
2017-01-21 22:16:02,5.89,6.63
2017-01-21 22:17:01,6.68,5.73
2017-01-21 22:18:01,8.14,7.37
2017-01-21 22:19:02,5.01,6.71
2017-01-21 22:20:01,7.53,7.58
2017-01-21 22:21:14,0,0
2017-01-21 22:22:01,0.93,10.02
2017-01-21 22:23:02,6.91,12.61
2017-01-21 22:24:02,0.27,0
2017-01-21 22:25:02,4.46,8.68
2017-01-21 22:26:02,4.64,8.29
2017-01-21 22:27:02,5.1,8.15
2017-01-21 22:28:02,5.07,7.28
2017-01-21 22:29:02,6.37,6.35
2017-01-21 22:30:03,6.35,7.76
2017-01-21 22:31:01,6.24,9.81
2017-01-21 22:32:02,7.85,11.65
2017-01-21 22:33:02,6.37,6.65
2017-01-21 22:34:01,3.3,7.19
2017-01-21 22:35:02,2.21,3.91
2017-01-21 22:36:02,5.71,6.81
2017-01-21 22:37:01,1.89,5.14
2017-01-21 22:38:02,5.59,7.66
2017-01-21 22:39:02,5.95,7.04
2017-01-21 22:40:01,5.33,4.48
2017-01-21 22:41:02,8.63,12.59
2017-01-21 22:42:02,9.34,8.3
2017-01-21 22:43:01,5.01,6.15
2017-01-21 22:44:01,9.62,4.44
2017-01-21 22:45:01,7.04,7.92
2017-01-21 22:46:02,5.27,5.45
2017-01-21 22:47:02,6.86,7.43
2017-01-21 22:48:02,8.95,8.62
2017-01-21 22:49:02,8.77,9.79
2017-01-21 22:50:01,0,0
2017-01-21 22:51:03,1.13,2.44
2017-01-21 22:52:02,1.9,1.92
2017-01-21 22:53:02,1.48,2.13
2017-01-21 22:54:01,4.38,7.07
2017-01-21 22:55:02,3.6,4.29
2017-01-21 22:56:02,6.87,6.1
2017-01-21 22:57:02,6.41,6.15
2017-01-21 22:58:02,4.11,3.41
2017-01-21 22:59:02,5.14,4.27
2017-01-21 23:00:02,5.13,1.56
2017-01-21 23:01:02,6.76,7.26
2017-01-21 23:02:02,5.37,6.63
2017-01-21 23:03:01,3.59,4.11
2017-01-21 23:04:02,5.8,4.71
2017-01-21 23:05:02,3.34,3.28
2017-01-21 23:06:01,0.1,3.2
2017-01-21 23:07:01,2.4,5.51
2017-01-21 23:08:02,7.24,7.17
2017-01-21 23:09:02,6.7,4.05
2017-01-21 23:10:01,5.57,2.96
2017-01-21 23:11:02,2.07,3.98
2017-01-21 23:12:02,5.15,7.4
2017-01-21 23:13:01,4.41,4.08
2017-01-21 23:14:02,4.92,3.35
2017-01-21 23:15:01,1.19,2.29
2017-01-21 23:16:02,2.37,3.3
2017-01-21 23:17:01,6.36,3.9
2017-01-21 23:18:01,3.15,2.09
2017-01-21 23:19:02,7.56,7.61
2017-01-21 23:20:02,5.3,2.99
2017-01-21 23:21:02,2.3,6.47
2017-01-21 23:22:01,4.72,4.85
2017-01-21 23:23:01,2.52,6.92
2017-01-21 23:24:02,1.94,4.93
2017-01-21 23:25:02,1.1,6.86
2017-01-21 23:26:02,4.03,6.38
2017-01-21 23:27:01,6.67,5.11
2017-01-21 23:28:02,6.35,5.4
2017-01-21 23:29:02,4.37,4.16
2017-01-21 23:30:02,3.34,5
2017-01-21 23:31:02,5.23,4.08
2017-01-21 23:32:02,2.14,6.83
2017-01-21 23:33:01,3.59,8.12
2017-01-21 23:34:02,6.28,3.85
2017-01-21 23:35:02,7.5,5.92
2017-01-21 23:36:02,7.98,6.83
2017-01-21 23:37:02,5.94,4.66
2017-01-21 23:38:01,6.17,6.08
2017-01-21 23:39:02,4.87,7.47
2017-01-21 23:40:01,7.16,6.22
2017-01-21 23:41:01,7.24,6.28
2017-01-21 23:42:02,6.97,6.89
2017-01-21 23:43:01,7.41,6.94
2017-01-21 23:44:02,8.49,5.79
